miRNA	Gene	Input
mmu-miR-467d-3p	Wdfy3	-1
mmu-miR-467d-3p	Trhde	-1
mmu-miR-467d-3p	Spred1	-1
mmu-miR-467d-3p	Pms1	-1
mmu-miR-467d-3p	Hhip	-1
mmu-miR-467d-3p	Loxl3	-1
mmu-miR-467d-3p	Ank2	-1
mmu-miR-467d-3p	Dbx1	-1
mmu-miR-467d-3p	Mex3b	-1
mmu-miR-467d-3p	Zbtb11	-1
mmu-miR-467d-3p	Tbx22	-1
mmu-miR-467d-3p	Six6	-1
mmu-miR-467d-3p	Ctla4	-1
mmu-miR-467d-3p	Alg6	-1
mmu-miR-467d-3p	Grsf1	-1
mmu-miR-467d-3p	Secisbp2l	-1
mmu-miR-467d-3p	Myt1l	-1
mmu-miR-467d-3p	Dcun1d4	-1
mmu-miR-467d-3p	Slc4a7	-1
mmu-miR-467d-3p	Btaf1	-1
mmu-miR-467d-3p	Prr12	-1
mmu-miR-467d-3p	Anks1b	-1
mmu-miR-467d-3p	Znrf3	-1
mmu-miR-467d-3p	Dlat	-1
mmu-miR-467d-3p	Eea1	-1
mmu-miR-467d-3p	Ppm1h	-1
mmu-miR-467d-3p	Ssb	-1
mmu-miR-467d-3p	Lemd3	-1
mmu-miR-467d-3p	Avl9	-1
mmu-miR-467d-3p	Itgb1	-1
mmu-miR-467d-3p	Ankrd1	-1
mmu-miR-467d-3p	Hook3	-1
mmu-miR-467d-3p	Cilk1	-1
mmu-miR-467d-3p	Zfp608	-1
mmu-miR-467d-3p	Itch	-1
mmu-miR-467d-3p	Mast4	-1
mmu-miR-467d-3p	Golim4	-1
mmu-miR-467d-3p	Rab10	-1
mmu-miR-467d-3p	Itga2	-1
mmu-miR-467d-3p	Ctdspl2	-1
mmu-miR-467d-3p	Tmem151a	-1
mmu-miR-467d-3p	Usp6nl	-1
mmu-miR-467d-3p	Lrp8	-1
mmu-miR-467d-3p	Ddx21	-1
mmu-miR-467d-3p	Adgre4	-1
mmu-miR-467d-3p	Rasef	-1
mmu-miR-467d-3p	Carmil1	-1
mmu-miR-467d-3p	Phrf1	-1
mmu-miR-467d-3p	Tubgcp5	-1
mmu-miR-467d-3p	Mcu	-1
mmu-miR-467d-3p	Pitx2	-1
mmu-miR-467d-3p	Scn2a	-1
mmu-miR-467d-3p	Usp25	-1
mmu-miR-467d-3p	Appl1	-1
mmu-miR-467d-3p	Rgmb	-1
mmu-miR-467d-3p	Rcn2	-1
mmu-miR-467d-3p	Aak1	-1
mmu-miR-467d-3p	Zbtb44	-1
mmu-miR-467d-3p	Hopx	-1
mmu-miR-7039-3p	Cyyr1	-1
mmu-miR-7039-3p	Pcsk5	-1
mmu-miR-7039-3p	Gabra1	-1
mmu-miR-7039-3p	Pex13	-1
mmu-miR-7039-3p	Zcchc2	-1
mmu-miR-7039-3p	Clec7a	-1
mmu-miR-7039-3p	Cdk12	-1
mmu-miR-7027-5p	Aff1	-1
mmu-miR-7027-5p	Cd300lg	-1
mmu-miR-7027-5p	Zfp609	-1
mmu-miR-7027-5p	Rcc2	-1
mmu-miR-7027-5p	D830030K20Rik	-1
mmu-miR-7027-5p	Esrrg	-1
mmu-miR-7027-5p	Sec63	-1
mmu-miR-7027-5p	Sox14	-1
mmu-miR-7027-5p	Dedd	-1
mmu-miR-7027-5p	Trim66	-1
mmu-miR-7027-5p	Pappa	-1
mmu-miR-7027-5p	Chtf8	-1
mmu-miR-7027-5p	Ap2m1	-1
mmu-miR-7027-5p	Usp17la	-1
mmu-miR-7027-5p	Ttc39b	-1
mmu-miR-7027-5p	Phex	-1
mmu-miR-7027-5p	Slc8a1	-1
mmu-miR-7027-5p	Gnpda2	-1
mmu-miR-7027-5p	Gm10408	-1
mmu-miR-7027-5p	Snx15	-1
mmu-miR-466m-5p	Bnc2	-1
mmu-miR-466m-5p	Abl2	-1
mmu-miR-466m-5p	Grik2	-1
mmu-miR-466m-5p	Arpp21	-1
mmu-miR-466m-5p	Daam1	-1
mmu-miR-466m-5p	Amotl1	-1
mmu-miR-466m-5p	Clock	-1
mmu-miR-466m-5p	Rhebl1	-1
mmu-miR-466m-5p	Tead1	-1
mmu-miR-466m-5p	Adamtsl3	-1
mmu-miR-466m-5p	Lhfp	-1
mmu-miR-466m-5p	Vapb	-1
mmu-miR-466m-5p	Onecut3	-1
mmu-miR-466m-5p	Elmod2	-1
mmu-miR-466m-5p	Triobp	-1
mmu-miR-466m-5p	Srsf6	-1
mmu-miR-466m-5p	Tet2	-1
mmu-miR-466m-5p	Fblim1	-1
mmu-miR-466m-5p	Nin	-1
mmu-miR-466m-5p	Antxr2	-1
mmu-miR-466m-5p	Pate9	-1
mmu-miR-466m-5p	Fam104a	-1
mmu-miR-466m-5p	Ankrd29	-1
mmu-miR-466m-5p	Tnrc6b	-1
mmu-miR-466m-5p	Kcnq2	-1
mmu-miR-466m-5p	Tmem38b	-1
mmu-miR-466m-5p	Kpna3	-1
mmu-miR-466m-5p	Gas2l3	-1
mmu-miR-466m-5p	Cyp1b1	-1
mmu-miR-466m-5p	Ttll1	-1
mmu-miR-466m-5p	Tppp	-1
mmu-miR-466m-5p	Slc6a19	-1
mmu-miR-466m-5p	Tmem47	-1
mmu-miR-466m-5p	Inhbb	-1
mmu-miR-466m-5p	Elfn1	-1
mmu-miR-466m-5p	Iglon5	-1
mmu-miR-466m-5p	Nectin1	-1
mmu-miR-466m-5p	Tnrc18	-1
mmu-miR-466m-5p	Mapk6	-1
mmu-miR-466m-5p	Cbx7	-1
mmu-miR-466m-5p	Chst11	-1
mmu-miR-7117-3p	Elk3	-1
mmu-miR-7117-3p	Nr3c2	-1
mmu-miR-7117-3p	Slc7a6	-1
mmu-miR-7117-3p	Cltc	-1
mmu-miR-7117-3p	Plcb1	-1
mmu-miR-7117-3p	Ssbp3	-1
mmu-miR-7117-3p	Cdh11	-1
mmu-miR-491-3p	Prpf4b	-1
mmu-miR-491-3p	Kcnc2	-1
mmu-miR-491-3p	Gnptg	-1
mmu-miR-491-3p	Lcorl	-1
mmu-miR-491-3p	Cacybp	-1
mmu-miR-491-3p	Ptprm	-1
mmu-miR-491-3p	Slc5a7	-1
mmu-miR-491-3p	F13b	-1
mmu-miR-491-3p	Sim1	-1
mmu-miR-491-3p	Kcnb2	-1
mmu-miR-491-3p	Ash1l	-1
mmu-miR-491-3p	Itprid2	-1
mmu-miR-6949-3p	Hnrnpa3	-1
mmu-miR-6949-3p	Ube2k	-1
mmu-miR-6949-3p	Slc1a4	-1
mmu-miR-6949-3p	Glul	-1
mmu-miR-6949-3p	Bach2	-1
mmu-miR-6949-3p	Lpcat3	-1
mmu-miR-3100-5p	Myorg	-1
mmu-miR-3100-5p	Ugt1a1	-1
mmu-miR-3100-5p	N4bp3	-1
mmu-miR-3100-5p	Zmynd11	-1
mmu-miR-3100-5p	Gata6	-1
mmu-miR-3100-5p	Ugt1a9	-1
mmu-miR-3100-5p	Ugt1a5	-1
