TF	TG	Input
lrp	dcuB	1
lrp	fumB	1
lrp	lysU	1
lrp	lysU	1
lrp	lysU	1
lrp	cadB	1
lrp	cadA	1
lrp	aspA	1
lrp	dcuA	1
lrp	aspA	1
lrp	dcuA	1
lrp	yjeM	1
lrp	yjeM	1
lrp	aidB	1
lrp	cycA	1
lrp	cycA	1
lrp	ytfK	1
lrp	ytfK	1
lrp	fimE	1
lrp	fimA	1
lrp	fimA	1
lrp	fimI	1
lrp	fimI	1
lrp	fimC	1
lrp	fimC	1
lrp	fimD	1
lrp	fimD	1
lrp	fimF	1
lrp	fimF	1
lrp	fimG	1
lrp	fimG	1
lrp	fimH	1
lrp	fimH	1
lrp	yjiC	1
lrp	yjiC	1
lrp	osmY	1
lrp	osmY	1
lrp	osmY	1
lrp	serB	1
lrp	radA	1
lrp	serB	1
lrp	radA	1
lrp	micF	1
torR	torR	1
torR	torC	1
torR	torA	1
torR	torD	1
torR	hdeA	1
torR	hdeB	1
torR	yhiD	1
torR	gadA	1
torR	gadX	1
torR	tnaC	1
torR	tnaA	1
torR	tnaB	1
rutR	carA	1
rutR	carB	1
rutR	fepB	1
rutR	rutG	1
rutR	rutF	1
rutR	rutE	1
rutR	rutD	1
rutR	rutC	1
rutR	rutB	1
rutR	rutA	1
rutR	rutR	1
rutR	pdeR	1
rutR	nemR	1
rutR	nemA	1
rutR	gloA	1
rutR	gadX	1
rutR	gadW	1
putA	putA	1
putA	putP	1
csgD	pepD	1
csgD	iraP	1
csgD	dgcC	1
csgD	yccT	1
csgD	yccJ	1
csgD	wrbA	1
csgD	csgG	1
csgD	csgF	1
csgD	csgE	1
csgD	csgD	1
csgD	csgB	1
csgD	csgA	1
csgD	csgC	1
csgD	flgN	1
csgD	flgM	1
csgD	fliA	1
csgD	fliZ	1
csgD	tcyJ	1
csgD	fliE	1
csgD	fliF	1
csgD	fliG	1
csgD	fliH	1
csgD	fliI	1
csgD	fliJ	1
csgD	fliK	1
csgD	yhbS	1
csgD	yhbT	1
csgD	nlpA	1
comR	bhsA	1
phoP	gadF	1
phoP	hemL	1
phoP	acrA	1
phoP	acrB	1
phoP	borD	1
phoP	ompT	1
phoP	pagP	1
phoP	nagA	1
phoP	ybjG	1
phoP	rutG	1
phoP	rutF	1
phoP	rutE	1
phoP	rutD	1
phoP	rutC	1
phoP	rutB	1
phoP	rutA	1
phoP	phoQ	1
phoP	phoQ	1
phoP	phoP	1
phoP	phoP	1
phoP	iraM	1
phoP	cysB	1
phoP	ydeO	1
phoP	safA	1
phoP	ydeP	1
phoP	rstA	1
phoP	rstB	1
phoP	slyB	1
phoP	slyB	1
phoP	mgrB	1
phoP	fadL	1
phoP	tolC	1
phoP	ygiA	1
phoP	ygiB	1
phoP	ygiC	1
phoP	yrbL	1
phoP	dcuD	1
phoP	argD	1
phoP	glgP	1
phoP	glgA	1
phoP	glgB	1
