TF	TG	Input
Elf4	Dlx5	1
Elf4	Mab21l1	1
Elf4	Msx2	1
Elf4	Trp53	1
Elf5	Ccnd2	1
Elf5	Stat5a	1
Elk1	Egr1	1
Elk1	Fos	1
Elk1	Fos	1
Elk1	Hmox1	1
Elk1	Il6	1
Elk1	Mylk	1
Elk1	Mylk3	1
Elk1	Tbp	1
Elk3	Nos2	1
Elk3	Pcyt1a	1
Elk3	Serpine1	1
Ell3	Trp53	1
Ell3	Zeb1	1
Ell3	Zeb2	1
Elp2	Pou5f1	1
Elp3	Pou5f1	1
Emx2	Alx1	1
Emx2	Pax6	1
En1	Elf1	1
En1	Gbx2	1
En1	Pax5	1
En1	Wnt7a	1
En2	Pax5	1
Eomes	Ebf1	1
Eomes	Il17a	1
Eomes	Mesp1	1
Eomes	Prf1	1
Eomes	Rorc	1
Eomes	Sox2	1
Ep300	Aldh3a1	1
Ep300	Axin2	1
Ep300	Bglap	1
Ep300	Birc5	1
Ep300	COX2	1
Ep300	Cav3	1
Ep300	Ccnb2	1
Ep300	Ccnd1	1
Ep300	Ccnd1	1
Ep300	Cdkn1a	1
Ep300	Chrne	1
Ep300	Clock	1
Ep300	Col1a2	1
Ep300	Col2a1	1
Ep300	Cpt1b	1
Ep300	Creb1	1
Ep300	Cryab	1
Ep300	Dnmt1	1
Ep300	Edn1	1
Ep300	F7	1
Ep300	Fasn	1
Ep300	Flt4	1
Ep300	Fn1	1
Ep300	Fos	1
Ep300	Gata4	1
Ep300	Hmox1	1
Ep300	Hrh4	1
Ep300	Il6	1
Ep300	Irf2	1
Ep300	Irs1	1
Ep300	Klf5	1
Ep300	Ldha	1
Ep300	Mef2c	1
Ep300	Hinfp	1
Ep300	Mmp2	1
Ep300	Mmp9	1
Ep300	Mt1	1
Ep300	Myb	1
Ep300	Myod1	1
Ep300	Neurod1	1
Ep300	Nos2	1
Ep300	Npas2	1
Ep300	Npr1	1
Ep300	Npr1	1
Ep300	Nr0b2	1
Ep300	Nr1h4	1
Ep300	Pou5f1	1
Ep300	Pparg	1
Ep300	Ptgs2	1
Ep300	Ptgs2	1
Ep300	Rarb	1
Ep300	Rs1	1
Ep300	Scd1	1
Ep300	Smad3	1
Ep300	Socs3	1
Ep300	Spp1	1
Ep300	Stat5a	1
Ep300	Tapbp	1
Ep300	Tff2	1
